Butterfly Effect,3:11;Travis Scott/butterfly_effect.mp3
goosebumps,4:04;Travis Scott/goosebumps.mp3
Yosemite,2:30;Travis Scott/yosemite.mp3
Rocket Man,4:41;Elton John/rocket_man.mp3
Your Song,4:01;Elton John/your_song.mp3
I'm Still Standing,3:03;Elton John/im_still_standing.mp3
Quer Voar,3:12;Matuê/quer_voar.mp3
Anos Luz,3:34;Matuê/anos_luz.mp3
Máquina do Tempo,4:07;Matuê/maquina_do_tempo.mp3
2 Corinthians 5:7,3:02;Memphis Depay/2_corinthians_5_7.mp3
Fall Back,2:58;Memphis Depay/fall_back.mp3
No Love,3:06;Memphis Depay/no_love.mp3
Ousadia & Alegria,3:29;Thiaguinho/ousadia_alegria.mp3
Ainda Bem,3:53;Thiaguinho/ainda_bem.mp3
Falta Você,3:36;Thiaguinho/falta_voce.mp3
Billie Jean,4:54;Michael Jackson/billie_jean.mp3
Beat It,4:18;Michael Jackson/beat_it.mp3
Thriller,5:57;Michael Jackson/thriller.mp3
HUMBLE.,2:57;Kendrick Lamar/humble.mp3
DNA.,3:05;Kendrick Lamar/dna.mp3
Alright,3:39;Kendrick Lamar/alright.mp3
Magnolia,3:01;Playboi Carti/magnolia.mp3
Sky,3:13;Playboi Carti/sky.mp3
Shoota,2:33;Playboi Carti/shoota.mp3
Crazy Train,4:56;Ozzy Osbourne/crazy_train.mp3
No More Tears,7:23;Ozzy Osbourne/no_more_tears.mp3
Mama I'm Coming Home,4:12;Ozzy Osbourne/mama_im_coming_home.mp3
My Way,4:36;Frank Sinatra/my_way.mp3
Fly Me to the Moon,2:30;Frank Sinatra/fly_me_to_the_moon.mp3
New York New York,3:26;Frank Sinatra/new_york_new_york.mp3
God's Plan,3:18;Drake/gods_plan.mp3
One Dance,2:53;Drake/one_dance.mp3
Hotline Bling,4:27;Drake/hotline_bling.mp3
Hells Bells,5:13;AC-DC/hells_bells.mp3
T.N.T,3:14;AC-DC/tnt.mp3
Back in Black,4:22;AC-DC/back_in_black.mp3
